Load,Solar,Wind,,,,
30.38,1.70,0.85,,,,
28.87,0.16,1.15,,,,
29.48,0.00,1.49,,,,
32.25,0.00,1.82,,,,
31.56,0.00,2.11,,,,
30.10,0.00,2.34,,,,
28.93,0.00,2.45,,,,
26.64,0.00,2.50,,,,
25.47,0.00,2.41,,,,
24.91,0.00,2.15,,,,
24.22,0.00,1.87,,,,
23.18,0.00,1.64,,,,
23.18,0.00,1.61,,,,
24.22,0.00,1.71,,,,
24.91,0.01,1.94,,,,
26.16,1.21,2.31,,,,
26.99,3.35,2.62,,,,
29.48,5.10,2.71,,,,
30.93,6.15,2.58,,,,
30.66,6.76,2.38,,,,
30.72,6.73,2.13,,,,
31.14,6.35,1.86,,,,
30.59,5.45,1.63,,,,
30.38,3.95,1.47,,,,
30.10,1.94,1.41,,,,
28.63,0.17,1.39,,,,
29.34,0.00,1.46,,,,
31.76,0.00,1.70,,,,
31.28,0.00,2.01,,,,
30.24,0.00,2.37,,,,
29.06,0.00,2.64,,,,
27.06,0.00,2.77,,,,
25.81,0.00,2.80,,,,
24.43,0.00,2.81,,,,
23.87,0.00,2.85,,,,
23.87,0.00,3.00,,,,
23.53,0.00,3.20,,,,
23.60,0.00,3.25,,,,
24.98,0.02,3.20,,,,
27.34,1.37,3.16,,,,
26.47,3.23,3.11,,,,
27.61,4.93,3.02,,,,
29.76,6.24,2.87,,,,
31.00,6.88,2.76,,,,
30.66,6.83,2.60,,,,
29.83,6.24,2.33,,,,
28.86,5.07,2.16,,,,
28.99,3.62,2.30,,,,
26.85,2.01,2.66,,,,
26.85,0.18,3.08,,,,
27.89,0.00,3.46,,,,
30.45,0.00,3.72,,,,
29.76,0.00,3.85,,,,
28.72,0.00,3.75,,,,
28.03,0.00,3.47,,,,
26.64,0.00,3.24,,,,
25.40,0.00,3.07,,,,
24.22,0.00,2.93,,,,
23.53,0.00,2.82,,,,
22.49,0.00,2.75,,,,
21.80,0.00,2.70,,,,
22.35,0.00,2.54,,,,
22.84,0.02,2.33,,,,
22.52,1.42,2.23,,,,
23.84,3.50,2.15,,,,
24.50,5.14,2.01,,,,
26.79,6.19,1.77,,,,
27.44,6.93,1.43,,,,
27.56,7.00,1.12,,,,
27.60,6.55,0.90,,,,
27.58,5.57,0.81,,,,
27.44,4.12,0.85,,,,
27.33,2.16,1.05,,,,
26.43,0.23,1.30,,,,
28.16,0.00,1.57,,,,
30.45,0.00,1.85,,,,
30.24,0.00,2.05,,,,
29.20,0.00,2.14,,,,
28.10,0.00,2.14,,,,
26.64,0.00,2.18,,,,
25.40,0.00,2.22,,,,
24.70,0.00,2.23,,,,
23.94,0.00,2.28,,,,
22.49,0.00,2.40,,,,
22.84,0.00,2.62,,,,
22.84,0.00,2.75,,,,
23.53,0.03,2.83,,,,
22.63,1.57,3.00,,,,
23.18,3.70,3.18,,,,
25.05,5.13,3.32,,,,
24.22,6.23,3.39,,,,
24.57,6.90,3.40,,,,
24.50,6.99,3.23,,,,
24.77,6.49,2.94,,,,
24.43,5.45,2.58,,,,
22.70,4.11,2.26,,,,
23.53,2.17,2.00,,,,
23.87,0.24,1.76,,,,
25.60,0.00,1.60,,,,
29.06,0.00,1.53,,,,
29.13,0.00,1.52,,,,
28.37,0.00,1.54,,,,
27.33,0.00,1.57,,,,
25.67,0.00,1.69,,,,
23.87,0.00,1.89,,,,
23.39,0.00,1.93,,,,
23.39,0.00,1.74,,,,
